County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Chautauqua,Plant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,not available,Rare,not listed,S3,G5,Recently Confirmed
Chemung,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Senecio suaveolens,Sweet-scented Indian Plantain,not available,Endangered,not listed,S1,G4,Recently Confirmed
Chemung,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. parviflorum,Small Southern Yellow Lady's Slipper,not available,Endangered,not listed,SH,G5T3T5,Historically Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Allium cernuum,Wild Onion,2008,Threatened,not listed,S2,G5,Recently Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Angelica venenosa,Hairy Angelica,not available,Rare,not listed,S1,G5,Recently Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Desmodium obtusum,Stiff Tick Trefoil,1882,Endangered,not listed,S1,G4G5,Historically Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens,1930,Threatened,not listed,S2,G5,Historically Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,not available,Rare,not listed,S3,G4T4,Historically Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,not available,Rare,not listed,S3,G5T4?,Recently Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Ptelea trifoliata var. trifoliata,Wafer Ash,not available,Endangered,not listed,S1S2,G5T5,Possible but not Confirmed
Chemung,Plant,Flowering Plants,Other Flowering Plants,Stuckenia filiformis,Slender Pondweed,1943,Endangered,not listed,S1,G5,Historically Confirmed
Chenango,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2000-2005,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Chenango,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,not available,Threatened,not listed,S2,G5,Historically Confirmed
Clinton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Chlidonias niger,Black Tern,2004,Endangered,not listed,S2B,G4,Recently Confirmed
Clinton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Clinton,Animal,Birds,Shrikes,Lanius ludovicianus,Loggerhead Shrike,1981,Endangered,not listed,S1B,G4,Recently Confirmed
Clinton,Animal,Fish,Salmon and Trout,Prosopium cylindraceum,Round Whitefish,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
Clinton,Plant,Ferns and Fern Allies,Horsetails,Equisetum pratense,Meadow Horsetail,2004,Threatened,not listed,S2,G5,Recently Confirmed
Clinton,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,1993,Threatened,not listed,S2,G5T5,Recently Confirmed
Clinton,Plant,Flowering Plants,Orchids,Calypso bulbosa var. americana,Calypso,1845,Endangered,not listed,SH,G5T5?,Historically Confirmed
Clinton,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,not available,Rare,not listed,S3,G5T4?,Historically Confirmed
Clinton,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum farwellii,Farwell's Water Milfoil,not available,Threatened,not listed,S2,G5,Historically Confirmed
Clinton,Plant,Flowering Plants,Other Flowering Plants,Potamogeton alpinus,Red Pondweed,not available,Threatened,not listed,S1S2,G5,Historically Confirmed
Clinton,Plant,Flowering Plants,Sedges,Carex retroflexa,Reflexed Sedge,1949,Threatened,not listed,S2S3,G5,Historically Confirmed
Columbia,Animal,Fish,Sturgeons and Paddlefish,Acipenser brevirostrum,Shortnose Sturgeon,2013,Endangered,Endangered,S1,G3,Recently Confirmed
Columbia,Plant,Flowering Plants,Other Flowering Plants,Hedeoma hispida,Rough Pennyroyal,2001,Threatened,not listed,S2S3,G5,Recently Confirmed
Columbia,Plant,Flowering Plants,Other Flowering Plants,Lespedeza frutescens,Violet Bush Clover,not available,Rare,not listed,S3,G5,Historically Confirmed
Columbia,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,not available,Rare,not listed,S3,G5T4?,Historically Confirmed
Columbia,Plant,Flowering Plants,Other Flowering Plants,Najas muenscheri,Hudson River Water Nymph,2000,Endangered,not listed,S2,G5T1,Recently Confirmed
Columbia,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,2003,Threatened,not listed,S2,G4,Recently Confirmed
Cortland,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,not available,Threatened,not listed,S3B,G4,Recently Confirmed
Cortland,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum boreale,Northern Bog Aster,1976,Threatened,not listed,S2,G5,Historically Confirmed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,2007,Threatened,not listed,S2,G5,Recently Confirmed
Cortland,Plant,Flowering Plants,Other Flowering Plants,Ulmus thomasii,Cork Elm,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Cortland,Plant,Flowering Plants,Sedges,Carex arcta,Northern Clustered Sedge,1896,Endangered,not listed,S1,G5,Historically Confirmed
Delaware,Animal,Mussels and Clams,Freshwater Mussels,Alasmidonta varicosa,Brook Floater,2011,Threatened,not listed,S1,G3,Recently Confirmed
Delaware,Plant,Ferns and Fern Allies,Horsetails,Equisetum pratense,Meadow Horsetail,not available,Threatened,not listed,S2,G5,Historically Confirmed
Delaware,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum boreale,Northern Bog Aster,1940,Threatened,not listed,S2,G5,Historically Confirmed
Delaware,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Delaware,Plant,Flowering Plants,Other Flowering Plants,Aconitum noveboracense,Northern Monkshood,2012,Endangered,Threatened,S1,G3,Recently Confirmed
Delaware,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,not available,Threatened,not listed,S2S3,G5,Possible but not Confirmed
Dutchess,Animal,Mammals,Bats,Myotis sodalis,Indiana Bat,2009,Endangered,Endangered,S1,G2,Recently Confirmed
Dutchess,Animal,Mussels and Clams,Freshwater Mussels,Alasmidonta heterodon,Dwarf Wedgemussel,2007,Endangered,Endangered,S1,G1G2,Recently Confirmed
Dutchess,Animal,Reptiles,Lizards,Sceloporus undulatus,Fence Lizard,not available,Threatened,not listed,S1,G5,Possible but not Confirmed
Dutchess,Plant,Ferns and Fern Allies,Quillworts,Selaginella eclipes,Hidden Spike Moss,2013,Endangered,not listed,S1,G4,Recently Confirmed
